============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\train_waterbirds_kan_h2048_e200_20260207_224459.txt
============================================================

Dataset: WATERBIRDS | Device: cuda | Model: KAN | Params: 21,708,352

Group tracking enabled: 4 groups

Ep 39/200 | Loss: 0.4045 | Test Loss: 0.9013 | Train: 94.5% | Test: 69.4% | Avg10: 63.1% | Best: 71.1% | WG: 6.4% | WG-Avg10: 12.4% | WG-Best: 21.8%
Ep 40/200 | Loss: 0.4084 | Test Loss: 0.8778 | Train: 93.6% | Test: 68.9% | Avg10: 64.2% | Best: 71.1% | WG: 6.9% | WG-Avg10: 11.3% | WG-Best: 21.8%
Ep 41/200 | Loss: 0.3917 | Test Loss: 0.9562 | Train: 94.5% | Test: 67.1% | Avg10: 64.3% | Best: 71.1% | WG: 10.9% | WG-Avg10: 11.7% | WG-Best: 21.8%
Ep 42/200 | Loss: 0.3956 | Test Loss: 1.0893 | Train: 94.6% | Test: 62.8% | Avg10: 64.7% | Best: 71.1% | WG: 18.1% | WG-Avg10: 11.7% | WG-Best: 21.8%
Ep 43/200 | Loss: 0.3869 | Test Loss: 1.4323 | Train: 94.6% | Test: 57.6% | Avg10: 63.9% | Best: 71.1% | WG: 22.9% | WG-Avg10: 13.1% | WG-Best: 21.8%
Ep 44/200 | Loss: 0.4023 | Test Loss: 1.1438 | Train: 94.4% | Test: 65.0% | Avg10: 64.6% | Best: 71.1% | WG: 8.7% | WG-Avg10: 12.0% | WG-Best: 22.9%
Ep 45/200 | Loss: 0.3824 | Test Loss: 1.1527 | Train: 95.0% | Test: 65.9% | Avg10: 65.0% | Best: 71.1% | WG: 8.3% | WG-Avg10: 11.2% | WG-Best: 22.9%
Ep 46/200 | Loss: 0.3849 | Test Loss: 1.0552 | Train: 94.9% | Test: 66.9% | Avg10: 65.0% | Best: 71.1% | WG: 7.0% | WG-Avg10: 11.2% | WG-Best: 22.9%
Ep 47/200 | Loss: 0.3774 | Test Loss: 1.2059 | Train: 95.0% | Test: 60.4% | Avg10: 64.6% | Best: 71.1% | WG: 19.2% | WG-Avg10: 12.3% | WG-Best: 22.9%
Ep 48/200 | Loss: 0.3790 | Test Loss: 1.1640 | Train: 95.3% | Test: 64.2% | Avg10: 64.8% | Best: 71.1% | WG: 10.4% | WG-Avg10: 11.9% | WG-Best: 22.9%
Ep 49/200 | Loss: 0.3768 | Test Loss: 1.4403 | Train: 95.3% | Test: 57.4% | Avg10: 63.6% | Best: 71.1% | WG: 22.7% | WG-Avg10: 13.5% | WG-Best: 22.9%
Ep 50/200 | Loss: 0.3698 | Test Loss: 1.0361 | Train: 95.2% | Test: 67.1% | Avg10: 63.4% | Best: 71.1% | WG: 11.5% | WG-Avg10: 14.0% | WG-Best: 22.9%
Ep 51/200 | Loss: 0.3658 | Test Loss: 0.9907 | Train: 95.5% | Test: 72.5% | Avg10: 64.0% | Best: 71.1% | WG: 4.5% | WG-Avg10: 13.3% | WG-Best: 22.9%
Ep 52/200 | Loss: 0.3664 | Test Loss: 1.0282 | Train: 95.5% | Test: 66.4% | Avg10: 64.3% | Best: 72.5% | WG: 17.0% | WG-Avg10: 13.2% | WG-Best: 22.9%
Ep 53/200 | Loss: 0.3601 | Test Loss: 1.6093 | Train: 95.9% | Test: 59.6% | Avg10: 64.5% | Best: 72.5% | WG: 19.9% | WG-Avg10: 12.9% | WG-Best: 22.9%
Ep 54/200 | Loss: 0.3563 | Test Loss: 1.1772 | Train: 96.1% | Test: 63.5% | Avg10: 64.4% | Best: 72.5% | WG: 16.0% | WG-Avg10: 13.7% | WG-Best: 22.9%
Ep 55/200 | Loss: 0.3665 | Test Loss: 1.0480 | Train: 95.6% | Test: 69.3% | Avg10: 64.7% | Best: 72.5% | WG: 8.1% | WG-Avg10: 13.6% | WG-Best: 22.9%
Ep 56/200 | Loss: 0.3417 | Test Loss: 1.2264 | Train: 96.6% | Test: 64.6% | Avg10: 64.5% | Best: 72.5% | WG: 15.3% | WG-Avg10: 14.5% | WG-Best: 22.9%
Ep 57/200 | Loss: 0.3564 | Test Loss: 1.4549 | Train: 96.2% | Test: 61.0% | Avg10: 64.6% | Best: 72.5% | WG: 20.2% | WG-Avg10: 14.6% | WG-Best: 22.9%
Ep 58/200 | Loss: 0.3481 | Test Loss: 1.2301 | Train: 96.4% | Test: 65.4% | Avg10: 64.7% | Best: 72.5% | WG: 11.5% | WG-Avg10: 14.7% | WG-Best: 22.9%
Ep 59/200 | Loss: 0.3442 | Test Loss: 1.5508 | Train: 96.2% | Test: 60.0% | Avg10: 64.9% | Best: 72.5% | WG: 25.1% | WG-Avg10: 14.9% | WG-Best: 22.9%
Ep 60/200 | Loss: 0.3412 | Test Loss: 1.0773 | Train: 96.8% | Test: 71.1% | Avg10: 65.3% | Best: 72.5% | WG: 9.3% | WG-Avg10: 14.7% | WG-Best: 25.1%
Ep 61/200 | Loss: 0.3456 | Test Loss: 1.4180 | Train: 96.6% | Test: 61.4% | Avg10: 64.2% | Best: 72.5% | WG: 19.2% | WG-Avg10: 16.2% | WG-Best: 25.1%
Ep 62/200 | Loss: 0.3336 | Test Loss: 1.3890 | Train: 97.0% | Test: 65.5% | Avg10: 64.1% | Best: 72.5% | WG: 11.7% | WG-Avg10: 15.6% | WG-Best: 25.1%
Ep 63/200 | Loss: 0.3269 | Test Loss: 1.1147 | Train: 97.2% | Test: 70.8% | Avg10: 65.3% | Best: 72.5% | WG: 7.6% | WG-Avg10: 14.4% | WG-Best: 25.1%
Ep 64/200 | Loss: 0.3337 | Test Loss: 1.2447 | Train: 96.8% | Test: 65.7% | Avg10: 65.5% | Best: 72.5% | WG: 14.5% | WG-Avg10: 14.3% | WG-Best: 25.1%
Ep 65/200 | Loss: 0.3238 | Test Loss: 1.3617 | Train: 97.3% | Test: 64.8% | Avg10: 65.0% | Best: 72.5% | WG: 15.3% | WG-Avg10: 15.0% | WG-Best: 25.1%
Ep 66/200 | Loss: 0.3285 | Test Loss: 1.4575 | Train: 97.2% | Test: 63.4% | Avg10: 64.9% | Best: 72.5% | WG: 21.8% | WG-Avg10: 15.6% | WG-Best: 25.1%
Ep 67/200 | Loss: 0.3277 | Test Loss: 1.2061 | Train: 97.0% | Test: 69.1% | Avg10: 65.7% | Best: 72.5% | WG: 8.1% | WG-Avg10: 14.4% | WG-Best: 25.1%
Ep 68/200 | Loss: 0.3272 | Test Loss: 1.2255 | Train: 97.5% | Test: 68.8% | Avg10: 66.0% | Best: 72.5% | WG: 10.1% | WG-Avg10: 14.3% | WG-Best: 25.1%
Ep 69/200 | Loss: 0.3161 | Test Loss: 1.2557 | Train: 97.8% | Test: 64.9% | Avg10: 66.5% | Best: 72.5% | WG: 13.1% | WG-Avg10: 13.1% | WG-Best: 25.1%
Ep 70/200 | Loss: 0.3228 | Test Loss: 1.5769 | Train: 97.3% | Test: 59.7% | Avg10: 65.4% | Best: 72.5% | WG: 26.3% | WG-Avg10: 14.8% | WG-Best: 25.1%
Ep 71/200 | Loss: 0.3190 | Test Loss: 1.5227 | Train: 97.7% | Test: 63.7% | Avg10: 65.6% | Best: 72.5% | WG: 18.2% | WG-Avg10: 14.7% | WG-Best: 26.3%
Ep 72/200 | Loss: 0.3203 | Test Loss: 1.8289 | Train: 97.7% | Test: 59.9% | Avg10: 65.1% | Best: 72.5% | WG: 16.7% | WG-Avg10: 15.2% | WG-Best: 26.3%
Ep 73/200 | Loss: 0.3187 | Test Loss: 1.2762 | Train: 97.6% | Test: 69.1% | Avg10: 64.9% | Best: 72.5% | WG: 4.7% | WG-Avg10: 14.9% | WG-Best: 26.3%
Ep 74/200 | Loss: 0.3114 | Test Loss: 1.4492 | Train: 98.0% | Test: 60.6% | Avg10: 64.4% | Best: 72.5% | WG: 31.2% | WG-Avg10: 16.5% | WG-Best: 26.3%
Ep 75/200 | Loss: 0.3083 | Test Loss: 1.7751 | Train: 98.2% | Test: 61.7% | Avg10: 64.1% | Best: 72.5% | WG: 21.3% | WG-Avg10: 17.1% | WG-Best: 31.2%
Ep 76/200 | Loss: 0.3085 | Test Loss: 1.3533 | Train: 97.9% | Test: 68.6% | Avg10: 64.6% | Best: 72.5% | WG: 10.6% | WG-Avg10: 16.0% | WG-Best: 31.2%
Ep 77/200 | Loss: 0.3085 | Test Loss: 1.6508 | Train: 97.9% | Test: 65.3% | Avg10: 64.2% | Best: 72.5% | WG: 12.0% | WG-Avg10: 16.4% | WG-Best: 31.2%
Ep 78/200 | Loss: 0.3075 | Test Loss: 1.4389 | Train: 97.9% | Test: 69.7% | Avg10: 64.3% | Best: 72.5% | WG: 9.8% | WG-Avg10: 16.4% | WG-Best: 31.2%
Ep 79/200 | Loss: 0.3085 | Test Loss: 1.7147 | Train: 98.0% | Test: 62.5% | Avg10: 64.1% | Best: 72.5% | WG: 19.5% | WG-Avg10: 17.0% | WG-Best: 31.2%
Ep 80/200 | Loss: 0.3160 | Test Loss: 1.4763 | Train: 97.8% | Test: 65.1% | Avg10: 64.6% | Best: 72.5% | WG: 18.1% | WG-Avg10: 16.2% | WG-Best: 31.2%
Ep 81/200 | Loss: 0.3083 | Test Loss: 1.8933 | Train: 97.9% | Test: 61.7% | Avg10: 64.4% | Best: 72.5% | WG: 16.4% | WG-Avg10: 16.0% | WG-Best: 31.2%
Ep 82/200 | Loss: 0.3120 | Test Loss: 1.7885 | Train: 97.6% | Test: 58.7% | Avg10: 64.3% | Best: 72.5% | WG: 26.6% | WG-Avg10: 17.0% | WG-Best: 31.2%
Ep 83/200 | Loss: 0.3088 | Test Loss: 1.5758 | Train: 97.9% | Test: 65.6% | Avg10: 63.9% | Best: 72.5% | WG: 10.9% | WG-Avg10: 17.6% | WG-Best: 31.2%
Ep 84/200 | Loss: 0.3034 | Test Loss: 1.6573 | Train: 98.1% | Test: 62.9% | Avg10: 64.2% | Best: 72.5% | WG: 15.6% | WG-Avg10: 16.1% | WG-Best: 31.2%
Ep 85/200 | Loss: 0.2965 | Test Loss: 1.9654 | Train: 98.5% | Test: 60.5% | Avg10: 64.1% | Best: 72.5% | WG: 18.8% | WG-Avg10: 15.8% | WG-Best: 31.2%
Ep 86/200 | Loss: 0.2917 | Test Loss: 1.7282 | Train: 98.7% | Test: 63.3% | Avg10: 63.5% | Best: 72.5% | WG: 21.2% | WG-Avg10: 16.9% | WG-Best: 31.2%
Ep 87/200 | Loss: 0.2994 | Test Loss: 1.7517 | Train: 98.0% | Test: 63.5% | Avg10: 63.4% | Best: 72.5% | WG: 12.8% | WG-Avg10: 17.0% | WG-Best: 31.2%
Ep 88/200 | Loss: 0.3033 | Test Loss: 1.5433 | Train: 98.0% | Test: 66.7% | Avg10: 63.1% | Best: 72.5% | WG: 13.6% | WG-Avg10: 17.3% | WG-Best: 31.2%
Ep 89/200 | Loss: 0.3022 | Test Loss: 2.1860 | Train: 98.2% | Test: 56.7% | Avg10: 62.5% | Best: 72.5% | WG: 21.3% | WG-Avg10: 17.5% | WG-Best: 31.2%
Ep 90/200 | Loss: 0.3095 | Test Loss: 1.6259 | Train: 97.8% | Test: 67.5% | Avg10: 62.7% | Best: 72.5% | WG: 9.2% | WG-Avg10: 16.6% | WG-Best: 31.2%
Ep 91/200 | Loss: 0.2984 | Test Loss: 1.7057 | Train: 98.4% | Test: 65.0% | Avg10: 63.0% | Best: 72.5% | WG: 12.6% | WG-Avg10: 16.3% | WG-Best: 31.2%
Ep 92/200 | Loss: 0.3013 | Test Loss: 1.5471 | Train: 98.2% | Test: 66.1% | Avg10: 63.8% | Best: 72.5% | WG: 9.7% | WG-Avg10: 14.6% | WG-Best: 31.2%
Ep 93/200 | Loss: 0.2954 | Test Loss: 1.9688 | Train: 98.5% | Test: 61.3% | Avg10: 63.4% | Best: 72.5% | WG: 14.8% | WG-Avg10: 14.9% | WG-Best: 31.2%
Ep 94/200 | Loss: 0.2856 | Test Loss: 1.8055 | Train: 98.9% | Test: 63.1% | Avg10: 63.4% | Best: 72.5% | WG: 15.1% | WG-Avg10: 14.9% | WG-Best: 31.2%
