============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\train_waterbirds_kan_h2048_e200_20260208_100458.txt
============================================================

Downloading: "https://download.pytorch.org/models/resnet18-f37072fd.pth" to C:\Users\GrGrie/.cache\torch\hub\checkpoints\resnet18-f37072fd.pth
Dataset: WATERBIRDS | Device: cuda | Model: KAN | Params: 21,708,352

Group tracking enabled: 4 groups

Ep 38/200 | Loss: 0.2632 | Test Loss: 0.5269 | Train: 99.9% | Test: 87.2% | Avg10: 87.3% | Best: 88.0% | WG: 62.0% | WG-Avg10: 64.7% | WG-Best: 67.9%
Ep 39/200 | Loss: 0.2619 | Test Loss: 0.5532 | Train: 100.0% | Test: 86.8% | Avg10: 87.3% | Best: 88.0% | WG: 66.8% | WG-Avg10: 64.8% | WG-Best: 67.9%
Ep 40/200 | Loss: 0.2621 | Test Loss: 0.5406 | Train: 100.0% | Test: 87.1% | Avg10: 87.2% | Best: 88.0% | WG: 66.4% | WG-Avg10: 64.8% | WG-Best: 67.9%
Ep 41/200 | Loss: 0.2636 | Test Loss: 0.5228 | Train: 99.9% | Test: 87.5% | Avg10: 87.3% | Best: 88.0% | WG: 60.7% | WG-Avg10: 64.6% | WG-Best: 67.9%
Ep 42/200 | Loss: 0.2616 | Test Loss: 0.5424 | Train: 100.0% | Test: 87.2% | Avg10: 87.2% | Best: 88.0% | WG: 64.5% | WG-Avg10: 64.5% | WG-Best: 67.9%
Ep 43/200 | Loss: 0.2624 | Test Loss: 0.5407 | Train: 100.0% | Test: 87.5% | Avg10: 87.2% | Best: 88.0% | WG: 63.4% | WG-Avg10: 64.5% | WG-Best: 67.9%
Ep 44/200 | Loss: 0.2629 | Test Loss: 0.4946 | Train: 99.9% | Test: 88.4% | Avg10: 87.3% | Best: 88.0% | WG: 61.4% | WG-Avg10: 63.9% | WG-Best: 67.9%
Ep 45/200 | Loss: 0.2618 | Test Loss: 0.4844 | Train: 100.0% | Test: 88.6% | Avg10: 87.4% | Best: 88.4% | WG: 62.9% | WG-Avg10: 63.7% | WG-Best: 67.9%
Ep 46/200 | Loss: 0.2624 | Test Loss: 0.5040 | Train: 100.0% | Test: 88.6% | Avg10: 87.5% | Best: 88.6% | WG: 65.0% | WG-Avg10: 63.6% | WG-Best: 67.9%
Ep 47/200 | Loss: 0.2627 | Test Loss: 0.4703 | Train: 99.9% | Test: 88.9% | Avg10: 87.8% | Best: 88.6% | WG: 65.9% | WG-Avg10: 63.9% | WG-Best: 67.9%
Ep 48/200 | Loss: 0.2622 | Test Loss: 0.4904 | Train: 100.0% | Test: 88.4% | Avg10: 87.9% | Best: 88.9% | WG: 66.0% | WG-Avg10: 64.3% | WG-Best: 67.9%
Ep 49/200 | Loss: 0.2625 | Test Loss: 0.4682 | Train: 99.9% | Test: 88.8% | Avg10: 88.1% | Best: 88.9% | WG: 63.6% | WG-Avg10: 64.0% | WG-Best: 67.9%
Ep 50/200 | Loss: 0.2619 | Test Loss: 0.4989 | Train: 100.0% | Test: 88.2% | Avg10: 88.2% | Best: 88.9% | WG: 64.5% | WG-Avg10: 63.8% | WG-Best: 67.9%
Ep 51/200 | Loss: 0.2616 | Test Loss: 0.5099 | Train: 100.0% | Test: 88.0% | Avg10: 88.3% | Best: 88.9% | WG: 63.7% | WG-Avg10: 64.1% | WG-Best: 67.9%
Ep 52/200 | Loss: 0.2620 | Test Loss: 0.5458 | Train: 100.0% | Test: 87.3% | Avg10: 88.3% | Best: 88.9% | WG: 67.3% | WG-Avg10: 64.4% | WG-Best: 67.9%
Ep 53/200 | Loss: 0.2624 | Test Loss: 0.5198 | Train: 100.0% | Test: 88.0% | Avg10: 88.3% | Best: 88.9% | WG: 65.4% | WG-Avg10: 64.6% | WG-Best: 67.9%
Ep 54/200 | Loss: 0.2614 | Test Loss: 0.5540 | Train: 100.0% | Test: 87.2% | Avg10: 88.2% | Best: 88.9% | WG: 62.8% | WG-Avg10: 64.7% | WG-Best: 67.9%
Ep 55/200 | Loss: 0.2630 | Test Loss: 0.5335 | Train: 99.9% | Test: 87.6% | Avg10: 88.1% | Best: 88.9% | WG: 62.8% | WG-Avg10: 64.7% | WG-Best: 67.9%
Ep 56/200 | Loss: 0.2616 | Test Loss: 0.5358 | Train: 100.0% | Test: 87.7% | Avg10: 88.0% | Best: 88.9% | WG: 63.9% | WG-Avg10: 64.6% | WG-Best: 67.9%
Ep 57/200 | Loss: 0.2623 | Test Loss: 0.5667 | Train: 100.0% | Test: 86.8% | Avg10: 87.8% | Best: 88.9% | WG: 64.6% | WG-Avg10: 64.5% | WG-Best: 67.9%
Ep 58/200 | Loss: 0.2613 | Test Loss: 0.5610 | Train: 100.0% | Test: 87.1% | Avg10: 87.7% | Best: 88.9% | WG: 64.3% | WG-Avg10: 64.3% | WG-Best: 67.9%
Ep 59/200 | Loss: 0.2621 | Test Loss: 0.5473 | Train: 100.0% | Test: 87.5% | Avg10: 87.5% | Best: 88.9% | WG: 62.0% | WG-Avg10: 64.1% | WG-Best: 67.9%
Ep 60/200 | Loss: 0.2613 | Test Loss: 0.5396 | Train: 100.0% | Test: 87.6% | Avg10: 87.5% | Best: 88.9% | WG: 62.9% | WG-Avg10: 64.0% | WG-Best: 67.9%
Ep 61/200 | Loss: 0.2617 | Test Loss: 0.5379 | Train: 100.0% | Test: 87.6% | Avg10: 87.4% | Best: 88.9% | WG: 63.1% | WG-Avg10: 63.9% | WG-Best: 67.9%
Ep 62/200 | Loss: 0.2610 | Test Loss: 0.5249 | Train: 100.0% | Test: 88.0% | Avg10: 87.5% | Best: 88.9% | WG: 62.1% | WG-Avg10: 63.4% | WG-Best: 67.9%
