============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: mlp
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\cifar10_mlp_kanRegWeight0.0_lr0.01_seed42_e200_hiddenDim2048_20260306_102922.txt
WandB: enabled
============================================================

Dataset: CIFAR10 | Device: cuda | Model: MLP | Params: 12,244,042

Backbone frozen: False (requires_grad=True, BN in train mode)
Trainable parameters: 12244042 / 12244042
Ep 110/200 | Train Loss: 0.3139 | Val Loss: 0.4639 | Test Loss: 0.4639 | Train: 89.2% | Val: 84.4% | Test: 84.4% | Val-Avg10: 83.1% | Val-Best: 85.9%
Ep 111/200 | Train Loss: 0.3096 | Val Loss: 0.5947 | Test Loss: 0.5947 | Train: 89.6% | Val: 79.9% | Test: 79.9% | Val-Avg10: 82.7% | Val-Best: 85.9%
Ep 112/200 | Train Loss: 0.3152 | Val Loss: 0.5043 | Test Loss: 0.5043 | Train: 89.3% | Val: 83.2% | Test: 83.2% | Val-Avg10: 82.9% | Val-Best: 85.9%
Ep 113/200 | Train Loss: 0.3080 | Val Loss: 0.6298 | Test Loss: 0.6298 | Train: 89.5% | Val: 78.8% | Test: 78.8% | Val-Avg10: 82.8% | Val-Best: 85.9%
Ep 114/200 | Train Loss: 0.3077 | Val Loss: 0.7140 | Test Loss: 0.7140 | Train: 89.6% | Val: 76.9% | Test: 76.9% | Val-Avg10: 82.3% | Val-Best: 85.9%
Ep 115/200 | Train Loss: 0.3081 | Val Loss: 0.4508 | Test Loss: 0.4508 | Train: 89.6% | Val: 84.4% | Test: 84.4% | Val-Avg10: 82.5% | Val-Best: 85.9%
Ep 116/200 | Train Loss: 0.3070 | Val Loss: 0.6493 | Test Loss: 0.6493 | Train: 89.8% | Val: 78.7% | Test: 78.7% | Val-Avg10: 81.8% | Val-Best: 85.9%
Ep 117/200 | Train Loss: 0.3066 | Val Loss: 0.5046 | Test Loss: 0.5046 | Train: 89.7% | Val: 83.3% | Test: 83.3% | Val-Avg10: 82.0% | Val-Best: 85.9%
Ep 118/200 | Train Loss: 0.2994 | Val Loss: 0.4576 | Test Loss: 0.4576 | Train: 90.0% | Val: 84.1% | Test: 84.1% | Val-Avg10: 82.0% | Val-Best: 85.9%
Ep 119/200 | Train Loss: 0.3029 | Val Loss: 0.5106 | Test Loss: 0.5106 | Train: 89.7% | Val: 82.7% | Test: 82.7% | Val-Avg10: 81.6% | Val-Best: 85.9%
Ep 120/200 | Train Loss: 0.2988 | Val Loss: 0.4526 | Test Loss: 0.4526 | Train: 90.1% | Val: 84.9% | Test: 84.9% | Val-Avg10: 81.7% | Val-Best: 85.9%
Ep 121/200 | Train Loss: 0.3035 | Val Loss: 0.5238 | Test Loss: 0.5238 | Train: 89.7% | Val: 82.2% | Test: 82.2% | Val-Avg10: 81.9% | Val-Best: 85.9%
Ep 122/200 | Train Loss: 0.2983 | Val Loss: 0.5439 | Test Loss: 0.5439 | Train: 89.9% | Val: 81.5% | Test: 81.5% | Val-Avg10: 81.8% | Val-Best: 85.9%
Ep 123/200 | Train Loss: 0.2972 | Val Loss: 0.5296 | Test Loss: 0.5296 | Train: 90.0% | Val: 81.6% | Test: 81.6% | Val-Avg10: 82.0% | Val-Best: 85.9%
Ep 124/200 | Train Loss: 0.2985 | Val Loss: 0.5522 | Test Loss: 0.5522 | Train: 89.9% | Val: 81.5% | Test: 81.5% | Val-Avg10: 82.5% | Val-Best: 85.9%
Ep 125/200 | Train Loss: 0.3003 | Val Loss: 0.4536 | Test Loss: 0.4536 | Train: 89.8% | Val: 84.2% | Test: 84.2% | Val-Avg10: 82.5% | Val-Best: 85.9%
Ep 126/200 | Train Loss: 0.2968 | Val Loss: 0.4780 | Test Loss: 0.4780 | Train: 90.0% | Val: 84.1% | Test: 84.1% | Val-Avg10: 83.0% | Val-Best: 85.9%
Ep 127/200 | Train Loss: 0.2944 | Val Loss: 0.4710 | Test Loss: 0.4710 | Train: 90.1% | Val: 84.0% | Test: 84.0% | Val-Avg10: 83.1% | Val-Best: 85.9%
Ep 128/200 | Train Loss: 0.2920 | Val Loss: 0.4811 | Test Loss: 0.4811 | Train: 90.2% | Val: 83.3% | Test: 83.3% | Val-Avg10: 83.0% | Val-Best: 85.9%
Ep 129/200 | Train Loss: 0.2931 | Val Loss: 0.4426 | Test Loss: 0.4426 | Train: 90.2% | Val: 85.9% | Test: 85.9% | Val-Avg10: 83.3% | Val-Best: 85.9%
Ep 130/200 | Train Loss: 0.2892 | Val Loss: 0.4153 | Test Loss: 0.4153 | Train: 90.3% | Val: 86.1% | Test: 86.1% | Val-Avg10: 83.4% | Val-Best: 86.1%
