============================================================
Training Configuration
============================================================
Dataset: cmnist
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_cmnist_kan_h2048_e200_20260202_132204.txt
============================================================

Dataset: CMNIST | Device: cuda | Model: KAN | Params: 21,864,512

Ep 124/200 | Loss: 0.0037 | Test Loss: 0.0621 | Train: 99.9% | Test: 98.6% | Best: 99.2%
Ep 125/200 | Loss: 0.0039 | Test Loss: 0.0448 | Train: 99.9% | Test: 98.9% | Best: 99.2%
Ep 126/200 | Loss: 0.0043 | Test Loss: 0.0547 | Train: 99.9% | Test: 98.7% | Best: 99.2%
Ep 127/200 | Loss: 0.0043 | Test Loss: 0.0359 | Train: 99.9% | Test: 99.0% | Best: 99.2%
Ep 128/200 | Loss: 0.0033 | Test Loss: 0.0465 | Train: 99.9% | Test: 98.9% | Best: 99.2%
Ep 129/200 | Loss: 0.0037 | Test Loss: 0.0430 | Train: 99.9% | Test: 98.8% | Best: 99.2%
Ep 130/200 | Loss: 0.0047 | Test Loss: 0.0602 | Train: 99.9% | Test: 98.6% | Best: 99.2%
Ep 131/200 | Loss: 0.0044 | Test Loss: 0.0333 | Train: 99.9% | Test: 99.3% | Best: 99.3%
Ep 132/200 | Loss: 0.0040 | Test Loss: 0.0334 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 133/200 | Loss: 0.0033 | Test Loss: 0.0565 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 134/200 | Loss: 0.0038 | Test Loss: 0.0491 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 135/200 | Loss: 0.0054 | Test Loss: 0.0626 | Train: 99.8% | Test: 98.6% | Best: 99.3%
Ep 136/200 | Loss: 0.0053 | Test Loss: 0.0619 | Train: 99.8% | Test: 98.5% | Best: 99.3%
Ep 137/200 | Loss: 0.0038 | Test Loss: 0.0454 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 138/200 | Loss: 0.0037 | Test Loss: 0.0534 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 139/200 | Loss: 0.0044 | Test Loss: 0.0438 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 140/200 | Loss: 0.0039 | Test Loss: 0.0379 | Train: 99.9% | Test: 99.2% | Best: 99.3%
Ep 141/200 | Loss: 0.0041 | Test Loss: 0.0415 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 142/200 | Loss: 0.0046 | Test Loss: 0.0432 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 143/200 | Loss: 0.0049 | Test Loss: 0.0538 | Train: 99.8% | Test: 98.5% | Best: 99.3%
Ep 144/200 | Loss: 0.0048 | Test Loss: 0.0517 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 145/200 | Loss: 0.0038 | Test Loss: 0.0362 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 146/200 | Loss: 0.0041 | Test Loss: 0.0350 | Train: 99.8% | Test: 99.1% | Best: 99.3%
Ep 147/200 | Loss: 0.0035 | Test Loss: 0.0396 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 148/200 | Loss: 0.0027 | Test Loss: 0.0590 | Train: 99.9% | Test: 98.5% | Best: 99.3%
Ep 149/200 | Loss: 0.0043 | Test Loss: 0.0389 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 150/200 | Loss: 0.0031 | Test Loss: 0.0474 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 151/200 | Loss: 0.0049 | Test Loss: 0.0756 | Train: 99.9% | Test: 98.2% | Best: 99.3%
Ep 152/200 | Loss: 0.0029 | Test Loss: 0.0459 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 153/200 | Loss: 0.0038 | Test Loss: 0.0545 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 154/200 | Loss: 0.0035 | Test Loss: 0.0532 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 155/200 | Loss: 0.0024 | Test Loss: 0.0430 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 156/200 | Loss: 0.0040 | Test Loss: 0.0448 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 157/200 | Loss: 0.0042 | Test Loss: 0.0339 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 158/200 | Loss: 0.0049 | Test Loss: 0.0543 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 159/200 | Loss: 0.0041 | Test Loss: 0.0687 | Train: 99.9% | Test: 98.4% | Best: 99.3%
Ep 160/200 | Loss: 0.0037 | Test Loss: 0.0351 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 161/200 | Loss: 0.0044 | Test Loss: 0.0274 | Train: 99.9% | Test: 99.3% | Best: 99.3%
