============================================================
Training Configuration
============================================================
Dataset: spur_cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\spur_cifar10_kan_kanRegWeight0.01_lr0.01_seed42_e200_hiddenDim2048_20260218_161645.txt
WandB: enabled
============================================================

data_dir  ./data\spur_cifar10
Warning: Could not load spur_cifar10 as WILDS dataset, loading as standard CIFAR-10
Dataset: SPUR_CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 100/200 | Train Loss: 0.2972 | Val Loss: 0.2840 | Test Loss: 0.2840 | Train: 98.5% | Val: 91.8% | Test: 91.8% | Val-Avg10: 92.6% | Val-Best: 94.1%
Ep 101/200 | Train Loss: 0.2982 | Val Loss: 0.2724 | Test Loss: 0.2724 | Train: 98.4% | Val: 92.7% | Test: 92.7% | Val-Avg10: 92.6% | Val-Best: 94.1%
Ep 102/200 | Train Loss: 0.2975 | Val Loss: 0.2657 | Test Loss: 0.2657 | Train: 98.3% | Val: 92.4% | Test: 92.4% | Val-Avg10: 92.6% | Val-Best: 94.1%
Ep 103/200 | Train Loss: 0.2980 | Val Loss: 0.2422 | Test Loss: 0.2422 | Train: 98.4% | Val: 93.2% | Test: 93.2% | Val-Avg10: 92.7% | Val-Best: 94.1%
Ep 104/200 | Train Loss: 0.2964 | Val Loss: 0.2729 | Test Loss: 0.2729 | Train: 98.4% | Val: 92.8% | Test: 92.8% | Val-Avg10: 92.7% | Val-Best: 94.1%
Ep 105/200 | Train Loss: 0.2969 | Val Loss: 0.2418 | Test Loss: 0.2418 | Train: 98.3% | Val: 93.2% | Test: 93.2% | Val-Avg10: 92.8% | Val-Best: 94.1%
Ep 106/200 | Train Loss: 0.2983 | Val Loss: 0.2746 | Test Loss: 0.2746 | Train: 98.4% | Val: 92.6% | Test: 92.6% | Val-Avg10: 92.7% | Val-Best: 94.1%
Ep 107/200 | Train Loss: 0.2943 | Val Loss: 0.2573 | Test Loss: 0.2573 | Train: 98.5% | Val: 92.7% | Test: 92.7% | Val-Avg10: 92.7% | Val-Best: 94.1%
Ep 108/200 | Train Loss: 0.2974 | Val Loss: 0.2772 | Test Loss: 0.2772 | Train: 98.4% | Val: 92.6% | Test: 92.6% | Val-Avg10: 92.7% | Val-Best: 94.1%
Ep 109/200 | Train Loss: 0.2995 | Val Loss: 0.2819 | Test Loss: 0.2819 | Train: 98.3% | Val: 92.4% | Test: 92.4% | Val-Avg10: 92.6% | Val-Best: 94.1%
Ep 110/200 | Train Loss: 0.2995 | Val Loss: 0.2774 | Test Loss: 0.2774 | Train: 98.4% | Val: 92.6% | Test: 92.6% | Val-Avg10: 92.7% | Val-Best: 94.1%
Ep 111/200 | Train Loss: 0.2970 | Val Loss: 0.2786 | Test Loss: 0.2786 | Train: 98.5% | Val: 92.5% | Test: 92.5% | Val-Avg10: 92.7% | Val-Best: 94.1%
Ep 112/200 | Train Loss: 0.2994 | Val Loss: 0.3254 | Test Loss: 0.3254 | Train: 98.3% | Val: 91.1% | Test: 91.1% | Val-Avg10: 92.6% | Val-Best: 94.1%
Ep 113/200 | Train Loss: 0.2981 | Val Loss: 0.2872 | Test Loss: 0.2872 | Train: 98.3% | Val: 92.2% | Test: 92.2% | Val-Avg10: 92.5% | Val-Best: 94.1%
Ep 114/200 | Train Loss: 0.2966 | Val Loss: 0.2826 | Test Loss: 0.2826 | Train: 98.4% | Val: 92.3% | Test: 92.3% | Val-Avg10: 92.4% | Val-Best: 94.1%
Ep 115/200 | Train Loss: 0.2979 | Val Loss: 0.2519 | Test Loss: 0.2519 | Train: 98.4% | Val: 93.4% | Test: 93.4% | Val-Avg10: 92.4% | Val-Best: 94.1%
Ep 116/200 | Train Loss: 0.3009 | Val Loss: 0.2561 | Test Loss: 0.2561 | Train: 98.3% | Val: 93.0% | Test: 93.0% | Val-Avg10: 92.5% | Val-Best: 94.1%
Ep 117/200 | Train Loss: 0.2960 | Val Loss: 0.2494 | Test Loss: 0.2494 | Train: 98.4% | Val: 93.3% | Test: 93.3% | Val-Avg10: 92.5% | Val-Best: 94.1%
Ep 118/200 | Train Loss: 0.2987 | Val Loss: 0.2750 | Test Loss: 0.2750 | Train: 98.4% | Val: 92.4% | Test: 92.4% | Val-Avg10: 92.5% | Val-Best: 94.1%
Ep 119/200 | Train Loss: 0.3007 | Val Loss: 0.2742 | Test Loss: 0.2742 | Train: 98.2% | Val: 92.5% | Test: 92.5% | Val-Avg10: 92.5% | Val-Best: 94.1%
Ep 120/200 | Train Loss: 0.2992 | Val Loss: 0.2874 | Test Loss: 0.2874 | Train: 98.4% | Val: 92.4% | Test: 92.4% | Val-Avg10: 92.5% | Val-Best: 94.1%
Ep 121/200 | Train Loss: 0.2968 | Val Loss: 0.2472 | Test Loss: 0.2472 | Train: 98.3% | Val: 93.2% | Test: 93.2% | Val-Avg10: 92.6% | Val-Best: 94.1%
