============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_cifar10_kan_h2048_e200_20260202_101834.txt
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 83/200 | Loss: 0.0859 | Test Loss: 0.3701 | Train: 97.0% | Test: 88.9% | Best: 89.8%
Ep 84/200 | Loss: 0.0827 | Test Loss: 0.3793 | Train: 97.2% | Test: 89.0% | Best: 89.8%
Ep 85/200 | Loss: 0.0833 | Test Loss: 0.3866 | Train: 97.2% | Test: 88.9% | Best: 89.8%
Ep 86/200 | Loss: 0.0813 | Test Loss: 0.3668 | Train: 97.1% | Test: 89.4% | Best: 89.8%
Ep 87/200 | Loss: 0.0812 | Test Loss: 0.4337 | Train: 97.3% | Test: 88.0% | Best: 89.8%
Ep 88/200 | Loss: 0.0808 | Test Loss: 0.4602 | Train: 97.2% | Test: 87.2% | Best: 89.8%
Ep 89/200 | Loss: 0.0800 | Test Loss: 0.4448 | Train: 97.3% | Test: 87.4% | Best: 89.8%
Ep 90/200 | Loss: 0.0825 | Test Loss: 0.4248 | Train: 97.1% | Test: 88.5% | Best: 89.8%
Ep 91/200 | Loss: 0.0790 | Test Loss: 0.3946 | Train: 97.2% | Test: 88.8% | Best: 89.8%
Ep 92/200 | Loss: 0.0780 | Test Loss: 0.3819 | Train: 97.3% | Test: 89.2% | Best: 89.8%
Ep 93/200 | Loss: 0.0799 | Test Loss: 0.3733 | Train: 97.2% | Test: 89.2% | Best: 89.8%
Ep 94/200 | Loss: 0.0744 | Test Loss: 0.4186 | Train: 97.5% | Test: 88.2% | Best: 89.8%
Ep 95/200 | Loss: 0.0772 | Test Loss: 0.3571 | Train: 97.3% | Test: 89.9% | Best: 89.9%
Ep 96/200 | Loss: 0.0762 | Test Loss: 0.3758 | Train: 97.4% | Test: 89.2% | Best: 89.9%
Ep 97/200 | Loss: 0.0757 | Test Loss: 0.3910 | Train: 97.3% | Test: 88.8% | Best: 89.9%
Ep 98/200 | Loss: 0.0771 | Test Loss: 0.3846 | Train: 97.3% | Test: 89.5% | Best: 89.9%
Ep 99/200 | Loss: 0.0749 | Test Loss: 0.3462 | Train: 97.4% | Test: 90.0% | Best: 90.0%
Ep 100/200 | Loss: 0.0753 | Test Loss: 0.3712 | Train: 97.4% | Test: 89.8% | Best: 90.0%
Ep 101/200 | Loss: 0.0746 | Test Loss: 0.3549 | Train: 97.4% | Test: 90.3% | Best: 90.3%
Ep 102/200 | Loss: 0.0760 | Test Loss: 0.3778 | Train: 97.4% | Test: 89.6% | Best: 90.3%
Ep 103/200 | Loss: 0.0729 | Test Loss: 0.3516 | Train: 97.5% | Test: 90.2% | Best: 90.3%
Ep 104/200 | Loss: 0.0738 | Test Loss: 0.3609 | Train: 97.5% | Test: 89.8% | Best: 90.3%
Ep 105/200 | Loss: 0.0718 | Test Loss: 0.4682 | Train: 97.6% | Test: 87.9% | Best: 90.3%
Ep 106/200 | Loss: 0.0704 | Test Loss: 0.3520 | Train: 97.5% | Test: 90.2% | Best: 90.3%
