============================================================
Training Configuration
============================================================
Dataset: cmnist
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\train_cmnist_kan_h2048_e200_20260210_064132.txt
============================================================

Dataset: CMNIST | Device: cuda | Model: KAN | Params: 21,864,512

Group tracking enabled: 4 groups

Ep 49/200 | Loss: 0.2707 | Test Loss: 0.0445 | Train: 99.9% | Test: 98.9% | Avg10: 99.0% | Best: 99.2% | WG: 96.7% | WG-Avg10: 97.4% | WG-Best: 98.2%
Ep 50/200 | Loss: 0.2709 | Test Loss: 0.0409 | Train: 99.9% | Test: 98.9% | Avg10: 99.0% | Best: 99.2% | WG: 98.0% | WG-Avg10: 97.5% | WG-Best: 98.2%
Ep 51/200 | Loss: 0.2710 | Test Loss: 0.0452 | Train: 99.9% | Test: 98.8% | Avg10: 98.9% | Best: 99.2% | WG: 96.5% | WG-Avg10: 97.4% | WG-Best: 98.2%
Ep 52/200 | Loss: 0.2715 | Test Loss: 0.0588 | Train: 99.9% | Test: 98.5% | Avg10: 98.9% | Best: 99.2% | WG: 95.4% | WG-Avg10: 97.3% | WG-Best: 98.2%
Ep 53/200 | Loss: 0.2698 | Test Loss: 0.0425 | Train: 100.0% | Test: 98.9% | Avg10: 98.9% | Best: 99.2% | WG: 97.7% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 54/200 | Loss: 0.2720 | Test Loss: 0.0400 | Train: 99.9% | Test: 99.0% | Avg10: 98.9% | Best: 99.2% | WG: 97.4% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 55/200 | Loss: 0.2711 | Test Loss: 0.0495 | Train: 99.9% | Test: 98.8% | Avg10: 98.9% | Best: 99.2% | WG: 97.4% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 56/200 | Loss: 0.2718 | Test Loss: 0.0425 | Train: 99.9% | Test: 98.9% | Avg10: 98.9% | Best: 99.2% | WG: 97.4% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 57/200 | Loss: 0.2712 | Test Loss: 0.0422 | Train: 99.9% | Test: 98.9% | Avg10: 98.9% | Best: 99.2% | WG: 97.3% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 58/200 | Loss: 0.2701 | Test Loss: 0.0386 | Train: 99.9% | Test: 99.0% | Avg10: 98.9% | Best: 99.2% | WG: 97.8% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 59/200 | Loss: 0.2699 | Test Loss: 0.0358 | Train: 100.0% | Test: 99.1% | Avg10: 98.9% | Best: 99.2% | WG: 97.5% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 60/200 | Loss: 0.2708 | Test Loss: 0.0437 | Train: 99.9% | Test: 98.9% | Avg10: 98.9% | Best: 99.2% | WG: 97.3% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 61/200 | Loss: 0.2716 | Test Loss: 0.0535 | Train: 99.9% | Test: 98.6% | Avg10: 98.9% | Best: 99.2% | WG: 97.0% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 62/200 | Loss: 0.2723 | Test Loss: 0.0431 | Train: 99.9% | Test: 99.0% | Avg10: 98.9% | Best: 99.2% | WG: 96.6% | WG-Avg10: 97.3% | WG-Best: 98.2%
Ep 63/200 | Loss: 0.2717 | Test Loss: 0.0434 | Train: 99.9% | Test: 98.9% | Avg10: 98.9% | Best: 99.2% | WG: 97.3% | WG-Avg10: 97.3% | WG-Best: 98.2%
Ep 64/200 | Loss: 0.2718 | Test Loss: 0.0540 | Train: 99.9% | Test: 98.7% | Avg10: 98.9% | Best: 99.2% | WG: 96.9% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 65/200 | Loss: 0.2723 | Test Loss: 0.0403 | Train: 99.8% | Test: 98.9% | Avg10: 98.9% | Best: 99.2% | WG: 96.8% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 66/200 | Loss: 0.2714 | Test Loss: 0.0524 | Train: 99.9% | Test: 98.7% | Avg10: 98.9% | Best: 99.2% | WG: 96.0% | WG-Avg10: 97.1% | WG-Best: 98.2%
Ep 67/200 | Loss: 0.2718 | Test Loss: 0.0482 | Train: 99.9% | Test: 98.9% | Avg10: 98.9% | Best: 99.2% | WG: 97.6% | WG-Avg10: 97.1% | WG-Best: 98.2%
Ep 68/200 | Loss: 0.2731 | Test Loss: 0.0451 | Train: 99.8% | Test: 98.9% | Avg10: 98.9% | Best: 99.2% | WG: 97.9% | WG-Avg10: 97.1% | WG-Best: 98.2%
Ep 69/200 | Loss: 0.2717 | Test Loss: 0.0425 | Train: 99.9% | Test: 99.0% | Avg10: 98.8% | Best: 99.2% | WG: 97.5% | WG-Avg10: 97.1% | WG-Best: 98.2%
Ep 70/200 | Loss: 0.2718 | Test Loss: 0.0476 | Train: 99.9% | Test: 98.8% | Avg10: 98.8% | Best: 99.2% | WG: 96.5% | WG-Avg10: 97.0% | WG-Best: 98.2%
Ep 71/200 | Loss: 0.2708 | Test Loss: 0.0440 | Train: 99.9% | Test: 99.0% | Avg10: 98.9% | Best: 99.2% | WG: 98.0% | WG-Avg10: 97.1% | WG-Best: 98.2%
Ep 72/200 | Loss: 0.2727 | Test Loss: 0.0487 | Train: 99.8% | Test: 98.8% | Avg10: 98.9% | Best: 99.2% | WG: 96.8% | WG-Avg10: 97.1% | WG-Best: 98.2%
Ep 73/200 | Loss: 0.2735 | Test Loss: 0.0518 | Train: 99.8% | Test: 98.7% | Avg10: 98.8% | Best: 99.2% | WG: 96.5% | WG-Avg10: 97.1% | WG-Best: 98.2%
Ep 74/200 | Loss: 0.2725 | Test Loss: 0.0308 | Train: 99.8% | Test: 99.2% | Avg10: 98.9% | Best: 99.2% | WG: 97.9% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 75/200 | Loss: 0.2715 | Test Loss: 0.0331 | Train: 99.9% | Test: 99.2% | Avg10: 98.9% | Best: 99.2% | WG: 97.9% | WG-Avg10: 97.3% | WG-Best: 98.2%
Ep 76/200 | Loss: 0.2710 | Test Loss: 0.0474 | Train: 99.9% | Test: 98.9% | Avg10: 98.9% | Best: 99.2% | WG: 97.4% | WG-Avg10: 97.4% | WG-Best: 98.2%
Ep 77/200 | Loss: 0.2698 | Test Loss: 0.0457 | Train: 99.9% | Test: 99.0% | Avg10: 98.9% | Best: 99.2% | WG: 97.0% | WG-Avg10: 97.4% | WG-Best: 98.2%
Ep 78/200 | Loss: 0.2718 | Test Loss: 0.0580 | Train: 99.8% | Test: 98.4% | Avg10: 98.9% | Best: 99.2% | WG: 96.5% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 79/200 | Loss: 0.2712 | Test Loss: 0.0426 | Train: 99.9% | Test: 98.9% | Avg10: 98.9% | Best: 99.2% | WG: 97.5% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 80/200 | Loss: 0.2717 | Test Loss: 0.0577 | Train: 99.9% | Test: 98.5% | Avg10: 98.9% | Best: 99.2% | WG: 96.5% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 81/200 | Loss: 0.2714 | Test Loss: 0.0413 | Train: 99.8% | Test: 99.0% | Avg10: 98.9% | Best: 99.2% | WG: 97.7% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 82/200 | Loss: 0.2698 | Test Loss: 0.0296 | Train: 99.9% | Test: 99.3% | Avg10: 98.9% | Best: 99.2% | WG: 98.1% | WG-Avg10: 97.3% | WG-Best: 98.2%
Ep 83/200 | Loss: 0.2719 | Test Loss: 0.0399 | Train: 99.8% | Test: 99.1% | Avg10: 98.9% | Best: 99.3% | WG: 97.2% | WG-Avg10: 97.4% | WG-Best: 98.2%
Ep 84/200 | Loss: 0.2722 | Test Loss: 0.0467 | Train: 99.8% | Test: 98.9% | Avg10: 98.9% | Best: 99.3% | WG: 96.6% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 85/200 | Loss: 0.2706 | Test Loss: 0.0396 | Train: 99.9% | Test: 99.0% | Avg10: 98.9% | Best: 99.3% | WG: 98.0% | WG-Avg10: 97.2% | WG-Best: 98.2%
Ep 86/200 | Loss: 0.2698 | Test Loss: 0.0363 | Train: 99.9% | Test: 99.0% | Avg10: 98.9% | Best: 99.3% | WG: 97.8% | WG-Avg10: 97.3% | WG-Best: 98.2%
Ep 87/200 | Loss: 0.2713 | Test Loss: 0.0670 | Train: 99.8% | Test: 98.5% | Avg10: 98.9% | Best: 99.3% | WG: 95.0% | WG-Avg10: 97.1% | WG-Best: 98.2%
Ep 88/200 | Loss: 0.2703 | Test Loss: 0.0345 | Train: 99.9% | Test: 99.1% | Avg10: 98.9% | Best: 99.3% | WG: 98.3% | WG-Avg10: 97.3% | WG-Best: 98.2%
Ep 89/200 | Loss: 0.2692 | Test Loss: 0.0491 | Train: 99.9% | Test: 98.8% | Avg10: 98.9% | Best: 99.3% | WG: 96.3% | WG-Avg10: 97.1% | WG-Best: 98.3%
Ep 90/200 | Loss: 0.2714 | Test Loss: 0.0340 | Train: 99.9% | Test: 99.1% | Avg10: 99.0% | Best: 99.3% | WG: 97.7% | WG-Avg10: 97.3% | WG-Best: 98.3%
Ep 91/200 | Loss: 0.2704 | Test Loss: 0.0535 | Train: 99.9% | Test: 98.7% | Avg10: 98.9% | Best: 99.3% | WG: 95.8% | WG-Avg10: 97.1% | WG-Best: 98.3%
Ep 92/200 | Loss: 0.2706 | Test Loss: 0.0526 | Train: 99.9% | Test: 98.8% | Avg10: 98.9% | Best: 99.3% | WG: 96.1% | WG-Avg10: 96.9% | WG-Best: 98.3%
Ep 93/200 | Loss: 0.2704 | Test Loss: 0.0384 | Train: 99.9% | Test: 99.0% | Avg10: 98.9% | Best: 99.3% | WG: 98.1% | WG-Avg10: 97.0% | WG-Best: 98.3%
Ep 94/200 | Loss: 0.2724 | Test Loss: 0.0625 | Train: 99.8% | Test: 98.4% | Avg10: 98.8% | Best: 99.3% | WG: 94.9% | WG-Avg10: 96.8% | WG-Best: 98.3%
Ep 95/200 | Loss: 0.2717 | Test Loss: 0.0418 | Train: 99.8% | Test: 98.8% | Avg10: 98.8% | Best: 99.3% | WG: 97.5% | WG-Avg10: 96.7% | WG-Best: 98.3%
Ep 96/200 | Loss: 0.2710 | Test Loss: 0.0547 | Train: 99.8% | Test: 98.5% | Avg10: 98.8% | Best: 99.3% | WG: 96.6% | WG-Avg10: 96.6% | WG-Best: 98.3%
Ep 97/200 | Loss: 0.2712 | Test Loss: 0.0735 | Train: 99.8% | Test: 98.1% | Avg10: 98.7% | Best: 99.3% | WG: 93.4% | WG-Avg10: 96.5% | WG-Best: 98.3%
Ep 98/200 | Loss: 0.2700 | Test Loss: 0.0511 | Train: 99.9% | Test: 98.8% | Avg10: 98.7% | Best: 99.3% | WG: 97.6% | WG-Avg10: 96.4% | WG-Best: 98.3%
Ep 99/200 | Loss: 0.2701 | Test Loss: 0.0552 | Train: 99.9% | Test: 98.7% | Avg10: 98.7% | Best: 99.3% | WG: 97.0% | WG-Avg10: 96.5% | WG-Best: 98.3%
Ep 100/200 | Loss: 0.2705 | Test Loss: 0.0444 | Train: 99.9% | Test: 98.8% | Avg10: 98.7% | Best: 99.3% | WG: 97.0% | WG-Avg10: 96.4% | WG-Best: 98.3%
