============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: mlp
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_waterbirds_mlp_h2048_e200_20260208_165430.txt
============================================================

Dataset: WATERBIRDS | Device: cuda | Model: MLP | Params: 12,235,330

Group tracking enabled: 4 groups

Ep 42/200 | Loss: 0.0006 | Test Loss: 0.5930 | Train: 100.0% | Test: 88.1% | Avg10: 87.4% | Best: 89.4% | WG: 62.6% | WG-Avg10: 59.7% | WG-Best: 69.6%
Ep 43/200 | Loss: 0.0018 | Test Loss: 0.6434 | Train: 100.0% | Test: 87.3% | Avg10: 87.5% | Best: 89.4% | WG: 61.8% | WG-Avg10: 60.0% | WG-Best: 69.6%
Ep 44/200 | Loss: 0.0005 | Test Loss: 0.5858 | Train: 100.0% | Test: 88.6% | Avg10: 87.8% | Best: 89.4% | WG: 61.5% | WG-Avg10: 60.4% | WG-Best: 69.6%
Ep 45/200 | Loss: 0.0005 | Test Loss: 0.6373 | Train: 100.0% | Test: 87.5% | Avg10: 87.7% | Best: 89.4% | WG: 63.1% | WG-Avg10: 60.7% | WG-Best: 69.6%
Ep 46/200 | Loss: 0.0004 | Test Loss: 0.5945 | Train: 100.0% | Test: 88.5% | Avg10: 87.8% | Best: 89.4% | WG: 64.6% | WG-Avg10: 61.1% | WG-Best: 69.6%
Ep 47/200 | Loss: 0.0003 | Test Loss: 0.6011 | Train: 100.0% | Test: 88.1% | Avg10: 87.8% | Best: 89.4% | WG: 66.2% | WG-Avg10: 62.2% | WG-Best: 69.6%
Ep 48/200 | Loss: 0.0004 | Test Loss: 0.6376 | Train: 100.0% | Test: 87.5% | Avg10: 87.9% | Best: 89.4% | WG: 60.4% | WG-Avg10: 61.8% | WG-Best: 69.6%
Ep 49/200 | Loss: 0.0003 | Test Loss: 0.6162 | Train: 100.0% | Test: 87.9% | Avg10: 87.9% | Best: 89.4% | WG: 60.6% | WG-Avg10: 62.0% | WG-Best: 69.6%
Ep 50/200 | Loss: 0.0006 | Test Loss: 0.6877 | Train: 100.0% | Test: 86.7% | Avg10: 87.8% | Best: 89.4% | WG: 63.7% | WG-Avg10: 62.9% | WG-Best: 69.6%
Ep 51/200 | Loss: 0.0008 | Test Loss: 0.6357 | Train: 100.0% | Test: 87.3% | Avg10: 87.7% | Best: 89.4% | WG: 59.0% | WG-Avg10: 62.4% | WG-Best: 69.6%
