============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.001
Seed: 2
Device: cuda
Log file: .\logs\train_cifar10_kan_h2048_e200_20260212_153751.txt
WandB: enabled
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 54/200 | Loss: 0.0543 | Test Loss: 0.2203 | Train: 99.1% | Test: 94.4% | Avg10: 94.3% | Best: 94.8%
Ep 55/200 | Loss: 0.0528 | Test Loss: 0.2173 | Train: 99.1% | Test: 94.2% | Avg10: 94.3% | Best: 94.8%
Ep 56/200 | Loss: 0.0555 | Test Loss: 0.2205 | Train: 99.0% | Test: 94.3% | Avg10: 94.3% | Best: 94.8%
Ep 57/200 | Loss: 0.0553 | Test Loss: 0.2139 | Train: 99.0% | Test: 94.4% | Avg10: 94.3% | Best: 94.8%
Ep 58/200 | Loss: 0.0536 | Test Loss: 0.2004 | Train: 99.1% | Test: 94.7% | Avg10: 94.3% | Best: 94.8%
Ep 59/200 | Loss: 0.0555 | Test Loss: 0.2146 | Train: 99.0% | Test: 94.2% | Avg10: 94.3% | Best: 94.8%
Ep 60/200 | Loss: 0.0561 | Test Loss: 0.2105 | Train: 99.0% | Test: 94.5% | Avg10: 94.3% | Best: 94.8%
Ep 61/200 | Loss: 0.0564 | Test Loss: 0.2129 | Train: 99.0% | Test: 94.1% | Avg10: 94.3% | Best: 94.8%
Ep 62/200 | Loss: 0.0535 | Test Loss: 0.2241 | Train: 99.1% | Test: 94.1% | Avg10: 94.3% | Best: 94.8%
Ep 63/200 | Loss: 0.0561 | Test Loss: 0.2103 | Train: 99.0% | Test: 94.3% | Avg10: 94.3% | Best: 94.8%
Ep 64/200 | Loss: 0.0574 | Test Loss: 0.2208 | Train: 99.0% | Test: 94.1% | Avg10: 94.3% | Best: 94.8%
Ep 65/200 | Loss: 0.0582 | Test Loss: 0.2066 | Train: 98.9% | Test: 94.6% | Avg10: 94.3% | Best: 94.8%
Ep 66/200 | Loss: 0.0578 | Test Loss: 0.2288 | Train: 98.9% | Test: 93.7% | Avg10: 94.3% | Best: 94.8%
Ep 67/200 | Loss: 0.0586 | Test Loss: 0.2303 | Train: 98.9% | Test: 94.2% | Avg10: 94.3% | Best: 94.8%
