============================================================
Training Configuration
============================================================
Dataset: metashift
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_metashift_kan_h2048_e200_20260203_165938.txt
============================================================

Dataset: METASHIFT | Device: cuda | Model: KAN | Params: 21,700,672

Ep 142/200 | Loss: 0.0476 | Test Loss: 0.6327 | Train: 98.3% | Test: 84.8% | Best: 85.4%
Ep 143/200 | Loss: 0.0515 | Test Loss: 0.8683 | Train: 98.2% | Test: 82.7% | Best: 85.4%
Ep 144/200 | Loss: 0.0480 | Test Loss: 0.8908 | Train: 98.2% | Test: 82.3% | Best: 85.4%
Ep 145/200 | Loss: 0.0517 | Test Loss: 0.7119 | Train: 98.2% | Test: 84.3% | Best: 85.4%
Ep 146/200 | Loss: 0.0400 | Test Loss: 0.6845 | Train: 98.5% | Test: 84.5% | Best: 85.4%
Ep 147/200 | Loss: 0.0553 | Test Loss: 0.6943 | Train: 98.0% | Test: 84.2% | Best: 85.4%
Ep 148/200 | Loss: 0.0524 | Test Loss: 0.6656 | Train: 98.2% | Test: 85.3% | Best: 85.4%
Ep 149/200 | Loss: 0.0457 | Test Loss: 0.6399 | Train: 98.3% | Test: 85.7% | Best: 85.7%
Ep 150/200 | Loss: 0.0466 | Test Loss: 0.6933 | Train: 98.3% | Test: 83.5% | Best: 85.7%
Ep 151/200 | Loss: 0.0465 | Test Loss: 0.6994 | Train: 98.3% | Test: 84.8% | Best: 85.7%
Ep 152/200 | Loss: 0.0486 | Test Loss: 0.6653 | Train: 98.4% | Test: 84.2% | Best: 85.7%
Ep 153/200 | Loss: 0.0458 | Test Loss: 0.7425 | Train: 98.3% | Test: 83.4% | Best: 85.7%
Ep 154/200 | Loss: 0.0484 | Test Loss: 0.7068 | Train: 98.2% | Test: 83.4% | Best: 85.7%
Ep 155/200 | Loss: 0.0414 | Test Loss: 0.6928 | Train: 98.4% | Test: 85.0% | Best: 85.7%
Ep 156/200 | Loss: 0.0511 | Test Loss: 0.6560 | Train: 98.2% | Test: 84.8% | Best: 85.7%
Ep 157/200 | Loss: 0.0531 | Test Loss: 0.9765 | Train: 98.2% | Test: 80.7% | Best: 85.7%
Ep 158/200 | Loss: 0.0487 | Test Loss: 0.6135 | Train: 98.3% | Test: 84.8% | Best: 85.7%
Ep 159/200 | Loss: 0.0477 | Test Loss: 0.6994 | Train: 98.2% | Test: 85.2% | Best: 85.7%
Ep 160/200 | Loss: 0.0473 | Test Loss: 0.7729 | Train: 98.2% | Test: 83.5% | Best: 85.7%
Ep 161/200 | Loss: 0.0468 | Test Loss: 0.6404 | Train: 98.3% | Test: 84.6% | Best: 85.7%
Ep 162/200 | Loss: 0.0449 | Test Loss: 0.6248 | Train: 98.2% | Test: 86.3% | Best: 86.3%
Ep 163/200 | Loss: 0.0519 | Test Loss: 0.7932 | Train: 98.2% | Test: 83.5% | Best: 86.3%
Ep 164/200 | Loss: 0.0437 | Test Loss: 0.6528 | Train: 98.5% | Test: 84.5% | Best: 86.3%
Ep 165/200 | Loss: 0.0416 | Test Loss: 0.6972 | Train: 98.4% | Test: 85.2% | Best: 86.3%
Ep 166/200 | Loss: 0.0397 | Test Loss: 0.6838 | Train: 98.5% | Test: 84.0% | Best: 86.3%
Ep 167/200 | Loss: 0.0362 | Test Loss: 0.7231 | Train: 98.7% | Test: 85.2% | Best: 86.3%
Ep 168/200 | Loss: 0.0507 | Test Loss: 0.8156 | Train: 98.2% | Test: 84.0% | Best: 86.3%
Ep 169/200 | Loss: 0.0440 | Test Loss: 0.6318 | Train: 98.4% | Test: 85.2% | Best: 86.3%
Ep 170/200 | Loss: 0.0446 | Test Loss: 0.7435 | Train: 98.4% | Test: 83.3% | Best: 86.3%
Ep 171/200 | Loss: 0.0477 | Test Loss: 0.6646 | Train: 98.5% | Test: 85.5% | Best: 86.3%
Ep 172/200 | Loss: 0.0422 | Test Loss: 0.6524 | Train: 98.6% | Test: 85.0% | Best: 86.3%
Ep 173/200 | Loss: 0.0431 | Test Loss: 0.6470 | Train: 98.5% | Test: 84.1% | Best: 86.3%
Ep 174/200 | Loss: 0.0365 | Test Loss: 0.6593 | Train: 98.7% | Test: 84.7% | Best: 86.3%
Ep 175/200 | Loss: 0.0431 | Test Loss: 0.6679 | Train: 98.4% | Test: 84.8% | Best: 86.3%
Ep 176/200 | Loss: 0.0363 | Test Loss: 0.8035 | Train: 98.6% | Test: 84.4% | Best: 86.3%
Ep 177/200 | Loss: 0.0395 | Test Loss: 0.6778 | Train: 98.5% | Test: 85.0% | Best: 86.3%
Ep 178/200 | Loss: 0.0444 | Test Loss: 0.6466 | Train: 98.3% | Test: 85.5% | Best: 86.3%
Ep 179/200 | Loss: 0.0381 | Test Loss: 0.6423 | Train: 98.7% | Test: 86.0% | Best: 86.3%
Ep 180/200 | Loss: 0.0429 | Test Loss: 0.6877 | Train: 98.6% | Test: 85.6% | Best: 86.3%
Ep 181/200 | Loss: 0.0373 | Test Loss: 0.6837 | Train: 98.5% | Test: 85.2% | Best: 86.3%
Ep 182/200 | Loss: 0.0447 | Test Loss: 0.7492 | Train: 98.4% | Test: 85.0% | Best: 86.3%
Ep 183/200 | Loss: 0.0351 | Test Loss: 0.6813 | Train: 98.7% | Test: 84.8% | Best: 86.3%
Ep 184/200 | Loss: 0.0402 | Test Loss: 0.6148 | Train: 98.5% | Test: 85.7% | Best: 86.3%
Ep 185/200 | Loss: 0.0394 | Test Loss: 0.6996 | Train: 98.5% | Test: 84.1% | Best: 86.3%
Ep 186/200 | Loss: 0.0450 | Test Loss: 0.7781 | Train: 98.4% | Test: 84.1% | Best: 86.3%
Ep 187/200 | Loss: 0.0411 | Test Loss: 0.6670 | Train: 98.5% | Test: 85.3% | Best: 86.3%
Ep 188/200 | Loss: 0.0454 | Test Loss: 0.6421 | Train: 98.4% | Test: 85.3% | Best: 86.3%
Ep 189/200 | Loss: 0.0401 | Test Loss: 0.6459 | Train: 98.5% | Test: 85.1% | Best: 86.3%
Ep 190/200 | Loss: 0.0331 | Test Loss: 0.6407 | Train: 98.7% | Test: 86.2% | Best: 86.3%
Ep 191/200 | Loss: 0.0460 | Test Loss: 0.6293 | Train: 98.3% | Test: 85.3% | Best: 86.3%
Ep 192/200 | Loss: 0.0351 | Test Loss: 0.6829 | Train: 98.6% | Test: 85.4% | Best: 86.3%
Ep 193/200 | Loss: 0.0361 | Test Loss: 0.6370 | Train: 98.7% | Test: 86.7% | Best: 86.7%
Ep 194/200 | Loss: 0.0385 | Test Loss: 0.6707 | Train: 98.8% | Test: 85.8% | Best: 86.7%
Ep 195/200 | Loss: 0.0346 | Test Loss: 0.8223 | Train: 98.7% | Test: 83.3% | Best: 86.7%
Ep 196/200 | Loss: 0.0385 | Test Loss: 0.7499 | Train: 98.7% | Test: 85.3% | Best: 86.7%
Ep 197/200 | Loss: 0.0341 | Test Loss: 0.7567 | Train: 98.8% | Test: 84.2% | Best: 86.7%
Ep 198/200 | Loss: 0.0389 | Test Loss: 0.5976 | Train: 98.4% | Test: 86.3% | Best: 86.7%
Ep 199/200 | Loss: 0.0371 | Test Loss: 0.6251 | Train: 98.6% | Test: 85.0% | Best: 86.7%
Ep 200/200 | Loss: 0.0382 | Test Loss: 0.6885 | Train: 98.6% | Test: 85.0% | Best: 86.7%

============================================================
Training completed!
Total training time: 3281.22s (54.69m)
Best test accuracy: 86.70%
Model saved to: ./best.pt
Log saved to: .\logs\train_metashift_kan_h2048_e200_20260203_165938.txt
============================================================
