============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\cifar10_kan_kanRegWeight0.01_lr0.01_seed42_e200_hiddenDim2048_20260306_131003.txt
WandB: enabled
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Backbone frozen: False (requires_grad=True, BN in train mode)
Trainable parameters: 21864512 / 21864512
Ep 40/200 | Train Loss: 0.7853 | Val Loss: 0.7640 | Test Loss: 0.7640 | Train: 81.2% | Val: 73.3% | Test: 73.3% | Val-Avg10: 72.7% | Val-Best: 76.0%
Ep 41/200 | Train Loss: 0.7854 | Val Loss: 0.7040 | Test Loss: 0.7040 | Train: 81.2% | Val: 75.4% | Test: 75.4% | Val-Avg10: 73.1% | Val-Best: 76.0%
Ep 42/200 | Train Loss: 0.7872 | Val Loss: 0.6527 | Test Loss: 0.6527 | Train: 81.2% | Val: 77.2% | Test: 77.2% | Val-Avg10: 73.2% | Val-Best: 77.2%
Ep 43/200 | Train Loss: 0.7823 | Val Loss: 0.7077 | Test Loss: 0.7077 | Train: 81.5% | Val: 75.6% | Test: 75.6% | Val-Avg10: 73.8% | Val-Best: 77.2%
Ep 44/200 | Train Loss: 0.7851 | Val Loss: 0.7633 | Test Loss: 0.7633 | Train: 81.4% | Val: 73.5% | Test: 73.5% | Val-Avg10: 73.8% | Val-Best: 77.2%
Ep 45/200 | Train Loss: 0.7793 | Val Loss: 0.7181 | Test Loss: 0.7181 | Train: 81.5% | Val: 74.9% | Test: 74.9% | Val-Avg10: 73.8% | Val-Best: 77.2%
Ep 46/200 | Train Loss: 0.7799 | Val Loss: 0.7231 | Test Loss: 0.7231 | Train: 81.4% | Val: 74.3% | Test: 74.3% | Val-Avg10: 74.2% | Val-Best: 77.2%
Ep 47/200 | Train Loss: 0.7829 | Val Loss: 0.7579 | Test Loss: 0.7579 | Train: 81.5% | Val: 72.6% | Test: 72.6% | Val-Avg10: 74.2% | Val-Best: 77.2%
Ep 48/200 | Train Loss: 0.7793 | Val Loss: 0.7516 | Test Loss: 0.7516 | Train: 81.5% | Val: 73.3% | Test: 73.3% | Val-Avg10: 74.6% | Val-Best: 77.2%
Ep 49/200 | Train Loss: 0.7805 | Val Loss: 0.6903 | Test Loss: 0.6903 | Train: 81.4% | Val: 75.7% | Test: 75.7% | Val-Avg10: 74.6% | Val-Best: 77.2%
Ep 50/200 | Train Loss: 0.7796 | Val Loss: 0.7006 | Test Loss: 0.7006 | Train: 81.4% | Val: 75.7% | Test: 75.7% | Val-Avg10: 74.8% | Val-Best: 77.2%
Ep 51/200 | Train Loss: 0.7787 | Val Loss: 0.7629 | Test Loss: 0.7629 | Train: 81.4% | Val: 73.0% | Test: 73.0% | Val-Avg10: 74.6% | Val-Best: 77.2%
Ep 52/200 | Train Loss: 0.7809 | Val Loss: 0.7373 | Test Loss: 0.7373 | Train: 81.4% | Val: 74.7% | Test: 74.7% | Val-Avg10: 74.3% | Val-Best: 77.2%
Ep 53/200 | Train Loss: 0.7726 | Val Loss: 0.6813 | Test Loss: 0.6813 | Train: 81.7% | Val: 75.8% | Test: 75.8% | Val-Avg10: 74.3% | Val-Best: 77.2%
Ep 54/200 | Train Loss: 0.7802 | Val Loss: 0.8554 | Test Loss: 0.8554 | Train: 81.4% | Val: 70.5% | Test: 70.5% | Val-Avg10: 74.0% | Val-Best: 77.2%
Ep 55/200 | Train Loss: 0.7699 | Val Loss: 0.7695 | Test Loss: 0.7695 | Train: 81.7% | Val: 73.2% | Test: 73.2% | Val-Avg10: 73.9% | Val-Best: 77.2%
Ep 56/200 | Train Loss: 0.7787 | Val Loss: 0.8710 | Test Loss: 0.8710 | Train: 81.5% | Val: 68.2% | Test: 68.2% | Val-Avg10: 73.3% | Val-Best: 77.2%
Ep 57/200 | Train Loss: 0.7739 | Val Loss: 0.6232 | Test Loss: 0.6232 | Train: 81.7% | Val: 78.5% | Test: 78.5% | Val-Avg10: 73.9% | Val-Best: 78.5%
Ep 58/200 | Train Loss: 0.7744 | Val Loss: 0.7282 | Test Loss: 0.7282 | Train: 81.6% | Val: 73.8% | Test: 73.8% | Val-Avg10: 73.9% | Val-Best: 78.5%
Ep 59/200 | Train Loss: 0.7743 | Val Loss: 0.6507 | Test Loss: 0.6507 | Train: 81.6% | Val: 76.8% | Test: 76.8% | Val-Avg10: 74.0% | Val-Best: 78.5%
Ep 60/200 | Train Loss: 0.7739 | Val Loss: 0.8053 | Test Loss: 0.8053 | Train: 81.8% | Val: 71.6% | Test: 71.6% | Val-Avg10: 73.6% | Val-Best: 78.5%
Ep 61/200 | Train Loss: 0.7726 | Val Loss: 0.7572 | Test Loss: 0.7572 | Train: 81.6% | Val: 73.8% | Test: 73.8% | Val-Avg10: 73.7% | Val-Best: 78.5%
Ep 62/200 | Train Loss: 0.7700 | Val Loss: 1.0273 | Test Loss: 1.0273 | Train: 81.8% | Val: 64.4% | Test: 64.4% | Val-Avg10: 72.7% | Val-Best: 78.5%
