============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\train_cifar10_kan_h2048_e200_20260207_124445.txt
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 97/200 | Loss: 0.3250 | Test Loss: 0.3475 | Train: 97.2% | Test: 90.0% | Avg10: 88.9% | Best: 90.0%
Ep 98/200 | Loss: 0.3236 | Test Loss: 0.3318 | Train: 97.3% | Test: 90.6% | Avg10: 89.0% | Best: 90.6%
Ep 99/200 | Loss: 0.3233 | Test Loss: 0.3707 | Train: 97.2% | Test: 89.8% | Avg10: 89.1% | Best: 90.6%
Ep 100/200 | Loss: 0.3213 | Test Loss: 0.3998 | Train: 97.5% | Test: 89.2% | Avg10: 89.1% | Best: 90.6%
Ep 101/200 | Loss: 0.3208 | Test Loss: 0.3501 | Train: 97.5% | Test: 90.1% | Avg10: 89.2% | Best: 90.6%
Ep 102/200 | Loss: 0.3225 | Test Loss: 0.3782 | Train: 97.3% | Test: 89.2% | Avg10: 89.3% | Best: 90.6%
Ep 103/200 | Loss: 0.3211 | Test Loss: 0.3642 | Train: 97.3% | Test: 89.7% | Avg10: 89.4% | Best: 90.6%
Ep 104/200 | Loss: 0.3209 | Test Loss: 0.3660 | Train: 97.4% | Test: 89.8% | Avg10: 89.5% | Best: 90.6%
Ep 105/200 | Loss: 0.3175 | Test Loss: 0.4040 | Train: 97.5% | Test: 88.8% | Avg10: 89.6% | Best: 90.6%
Ep 106/200 | Loss: 0.3171 | Test Loss: 0.3631 | Train: 97.5% | Test: 90.1% | Avg10: 89.8% | Best: 90.6%
Ep 107/200 | Loss: 0.3204 | Test Loss: 0.3446 | Train: 97.3% | Test: 90.2% | Avg10: 89.8% | Best: 90.6%
Ep 108/200 | Loss: 0.3177 | Test Loss: 0.3794 | Train: 97.5% | Test: 89.8% | Avg10: 89.7% | Best: 90.6%
Ep 109/200 | Loss: 0.3180 | Test Loss: 0.3616 | Train: 97.5% | Test: 89.8% | Avg10: 89.7% | Best: 90.6%
Ep 110/200 | Loss: 0.3171 | Test Loss: 0.3474 | Train: 97.6% | Test: 90.0% | Avg10: 89.8% | Best: 90.6%
Ep 111/200 | Loss: 0.3173 | Test Loss: 0.3654 | Train: 97.5% | Test: 90.2% | Avg10: 89.8% | Best: 90.6%
Ep 112/200 | Loss: 0.3145 | Test Loss: 0.3917 | Train: 97.6% | Test: 89.5% | Avg10: 89.8% | Best: 90.6%
Ep 113/200 | Loss: 0.3131 | Test Loss: 0.3567 | Train: 97.6% | Test: 90.3% | Avg10: 89.9% | Best: 90.6%
Ep 114/200 | Loss: 0.3142 | Test Loss: 0.3567 | Train: 97.6% | Test: 90.2% | Avg10: 89.9% | Best: 90.6%
Ep 115/200 | Loss: 0.3146 | Test Loss: 0.3746 | Train: 97.6% | Test: 89.5% | Avg10: 90.0% | Best: 90.6%
Ep 116/200 | Loss: 0.3116 | Test Loss: 0.3612 | Train: 97.7% | Test: 89.6% | Avg10: 89.9% | Best: 90.6%
Ep 117/200 | Loss: 0.3133 | Test Loss: 0.3488 | Train: 97.6% | Test: 90.1% | Avg10: 89.9% | Best: 90.6%
Ep 118/200 | Loss: 0.3109 | Test Loss: 0.3677 | Train: 97.7% | Test: 89.9% | Avg10: 89.9% | Best: 90.6%
Ep 119/200 | Loss: 0.3121 | Test Loss: 0.3564 | Train: 97.8% | Test: 90.2% | Avg10: 90.0% | Best: 90.6%
Ep 120/200 | Loss: 0.3116 | Test Loss: 0.3824 | Train: 97.7% | Test: 89.7% | Avg10: 89.9% | Best: 90.6%
Ep 121/200 | Loss: 0.3099 | Test Loss: 0.4057 | Train: 97.8% | Test: 89.1% | Avg10: 89.8% | Best: 90.6%
