============================================================
Training Configuration
============================================================
Dataset: metashift
Head: mlp
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_metashift_mlp_h2048_e200_20260203_114645.txt
============================================================

Preparing MetaShift dataset (using CIFAR-10 cats and dogs as proxy)...
MetaShift proxy dataset prepared.
Dataset: METASHIFT | Device: cuda | Model: MLP | Params: 12,227,650

Ep 67/200 | Loss: 0.1703 | Test Loss: 0.4968 | Train: 93.0% | Test: 82.8% | Best: 85.0%
Ep 68/200 | Loss: 0.1657 | Test Loss: 0.4449 | Train: 92.9% | Test: 83.8% | Best: 85.0%
Ep 69/200 | Loss: 0.1569 | Test Loss: 0.6682 | Train: 93.4% | Test: 80.8% | Best: 85.0%
Ep 70/200 | Loss: 0.1584 | Test Loss: 0.4684 | Train: 93.5% | Test: 83.8% | Best: 85.0%
Ep 71/200 | Loss: 0.1517 | Test Loss: 0.4994 | Train: 93.7% | Test: 82.9% | Best: 85.0%
Ep 72/200 | Loss: 0.1499 | Test Loss: 0.5115 | Train: 94.0% | Test: 84.4% | Best: 85.0%
Ep 73/200 | Loss: 0.1439 | Test Loss: 0.4684 | Train: 94.1% | Test: 83.2% | Best: 85.0%
Ep 74/200 | Loss: 0.1484 | Test Loss: 0.7151 | Train: 94.1% | Test: 80.5% | Best: 85.0%
Ep 75/200 | Loss: 0.1516 | Test Loss: 0.5774 | Train: 94.1% | Test: 81.5% | Best: 85.0%
Ep 76/200 | Loss: 0.1434 | Test Loss: 0.4724 | Train: 94.2% | Test: 84.4% | Best: 85.0%
Ep 77/200 | Loss: 0.1397 | Test Loss: 0.5616 | Train: 94.3% | Test: 82.5% | Best: 85.0%
Ep 78/200 | Loss: 0.1361 | Test Loss: 0.5017 | Train: 94.5% | Test: 83.7% | Best: 85.0%
Ep 79/200 | Loss: 0.1341 | Test Loss: 0.5590 | Train: 94.4% | Test: 83.7% | Best: 85.0%
Ep 80/200 | Loss: 0.1290 | Test Loss: 0.5745 | Train: 94.8% | Test: 83.4% | Best: 85.0%
Ep 81/200 | Loss: 0.1340 | Test Loss: 0.4875 | Train: 94.3% | Test: 84.6% | Best: 85.0%
Ep 82/200 | Loss: 0.1191 | Test Loss: 0.5810 | Train: 95.1% | Test: 82.6% | Best: 85.0%
Ep 83/200 | Loss: 0.1239 | Test Loss: 0.6870 | Train: 95.2% | Test: 81.2% | Best: 85.0%
Ep 84/200 | Loss: 0.1200 | Test Loss: 0.5289 | Train: 95.2% | Test: 83.5% | Best: 85.0%
Ep 85/200 | Loss: 0.1170 | Test Loss: 0.5400 | Train: 95.7% | Test: 84.8% | Best: 85.0%
Ep 86/200 | Loss: 0.1145 | Test Loss: 0.5552 | Train: 95.4% | Test: 84.8% | Best: 85.0%
Ep 87/200 | Loss: 0.1223 | Test Loss: 0.5732 | Train: 95.4% | Test: 84.8% | Best: 85.0%
Ep 88/200 | Loss: 0.1149 | Test Loss: 0.5227 | Train: 95.5% | Test: 84.0% | Best: 85.0%
Ep 89/200 | Loss: 0.1003 | Test Loss: 0.7423 | Train: 96.1% | Test: 80.5% | Best: 85.0%
Ep 90/200 | Loss: 0.1099 | Test Loss: 0.5317 | Train: 95.9% | Test: 84.3% | Best: 85.0%
Ep 91/200 | Loss: 0.1122 | Test Loss: 0.5848 | Train: 96.1% | Test: 84.2% | Best: 85.0%
Ep 92/200 | Loss: 0.1067 | Test Loss: 0.6083 | Train: 95.8% | Test: 83.6% | Best: 85.0%
Ep 93/200 | Loss: 0.0960 | Test Loss: 0.5893 | Train: 96.2% | Test: 85.0% | Best: 85.0%
Ep 94/200 | Loss: 0.0987 | Test Loss: 0.5530 | Train: 96.1% | Test: 84.2% | Best: 85.0%
Ep 95/200 | Loss: 0.0966 | Test Loss: 0.6051 | Train: 96.1% | Test: 83.8% | Best: 85.0%
Ep 96/200 | Loss: 0.0950 | Test Loss: 0.8679 | Train: 96.3% | Test: 81.2% | Best: 85.0%
Ep 97/200 | Loss: 0.0910 | Test Loss: 0.6554 | Train: 96.4% | Test: 83.8% | Best: 85.0%
Ep 98/200 | Loss: 0.0885 | Test Loss: 0.6126 | Train: 96.6% | Test: 85.2% | Best: 85.2%
Ep 99/200 | Loss: 0.0855 | Test Loss: 0.6657 | Train: 96.7% | Test: 83.0% | Best: 85.2%
Ep 100/200 | Loss: 0.0850 | Test Loss: 0.6190 | Train: 96.7% | Test: 84.9% | Best: 85.2%
Ep 101/200 | Loss: 0.0853 | Test Loss: 0.6914 | Train: 96.5% | Test: 84.0% | Best: 85.2%
Ep 102/200 | Loss: 0.0758 | Test Loss: 0.7963 | Train: 97.1% | Test: 80.7% | Best: 85.2%
Ep 103/200 | Loss: 0.0946 | Test Loss: 0.6667 | Train: 96.3% | Test: 85.0% | Best: 85.2%
Ep 104/200 | Loss: 0.0844 | Test Loss: 0.6129 | Train: 96.9% | Test: 85.5% | Best: 85.5%
Ep 105/200 | Loss: 0.0876 | Test Loss: 0.6733 | Train: 96.8% | Test: 83.0% | Best: 85.5%
Ep 106/200 | Loss: 0.0763 | Test Loss: 0.6336 | Train: 97.2% | Test: 84.7% | Best: 85.5%
Ep 107/200 | Loss: 0.0736 | Test Loss: 0.6644 | Train: 97.1% | Test: 85.2% | Best: 85.5%
Ep 108/200 | Loss: 0.0829 | Test Loss: 0.6641 | Train: 96.7% | Test: 84.1% | Best: 85.5%
Ep 109/200 | Loss: 0.0774 | Test Loss: 1.0625 | Train: 97.1% | Test: 78.5% | Best: 85.5%
Ep 110/200 | Loss: 0.0761 | Test Loss: 0.6743 | Train: 97.1% | Test: 84.5% | Best: 85.5%
Ep 111/200 | Loss: 0.0706 | Test Loss: 0.6508 | Train: 97.3% | Test: 84.5% | Best: 85.5%
Ep 112/200 | Loss: 0.0790 | Test Loss: 0.6177 | Train: 97.1% | Test: 84.3% | Best: 85.5%
Ep 113/200 | Loss: 0.0768 | Test Loss: 0.6768 | Train: 97.0% | Test: 84.7% | Best: 85.5%
Ep 114/200 | Loss: 0.0786 | Test Loss: 0.7060 | Train: 97.2% | Test: 84.1% | Best: 85.5%
Ep 115/200 | Loss: 0.0686 | Test Loss: 0.7234 | Train: 97.3% | Test: 83.8% | Best: 85.5%
Ep 116/200 | Loss: 0.0692 | Test Loss: 0.8207 | Train: 97.5% | Test: 82.2% | Best: 85.5%
Ep 117/200 | Loss: 0.0691 | Test Loss: 0.6446 | Train: 97.4% | Test: 84.8% | Best: 85.5%
Ep 118/200 | Loss: 0.0660 | Test Loss: 0.6522 | Train: 97.4% | Test: 85.2% | Best: 85.5%
Ep 119/200 | Loss: 0.0636 | Test Loss: 0.9101 | Train: 97.7% | Test: 81.5% | Best: 85.5%
Ep 120/200 | Loss: 0.0615 | Test Loss: 0.6773 | Train: 97.5% | Test: 85.5% | Best: 85.5%
Ep 121/200 | Loss: 0.0693 | Test Loss: 0.6886 | Train: 97.5% | Test: 85.0% | Best: 85.5%
Ep 122/200 | Loss: 0.0648 | Test Loss: 0.7937 | Train: 97.4% | Test: 81.3% | Best: 85.5%
Ep 123/200 | Loss: 0.0626 | Test Loss: 0.9133 | Train: 97.8% | Test: 81.1% | Best: 85.5%
Ep 124/200 | Loss: 0.0659 | Test Loss: 0.7142 | Train: 97.5% | Test: 84.0% | Best: 85.5%
Ep 125/200 | Loss: 0.0610 | Test Loss: 0.6491 | Train: 97.6% | Test: 84.4% | Best: 85.5%
Ep 126/200 | Loss: 0.0684 | Test Loss: 0.7678 | Train: 97.7% | Test: 84.2% | Best: 85.5%
Ep 127/200 | Loss: 0.0579 | Test Loss: 0.7048 | Train: 97.8% | Test: 84.8% | Best: 85.5%
Ep 128/200 | Loss: 0.0589 | Test Loss: 0.8066 | Train: 97.8% | Test: 83.5% | Best: 85.5%
Ep 129/200 | Loss: 0.0632 | Test Loss: 0.6644 | Train: 97.6% | Test: 84.3% | Best: 85.5%
Ep 130/200 | Loss: 0.0603 | Test Loss: 0.8165 | Train: 97.8% | Test: 83.4% | Best: 85.5%
Ep 131/200 | Loss: 0.0620 | Test Loss: 0.7131 | Train: 97.8% | Test: 84.6% | Best: 85.5%
Ep 132/200 | Loss: 0.0563 | Test Loss: 0.6451 | Train: 97.8% | Test: 85.0% | Best: 85.5%
Ep 133/200 | Loss: 0.0562 | Test Loss: 0.6567 | Train: 97.9% | Test: 85.5% | Best: 85.5%
Ep 134/200 | Loss: 0.0551 | Test Loss: 0.7929 | Train: 98.0% | Test: 83.3% | Best: 85.5%
Ep 135/200 | Loss: 0.0614 | Test Loss: 0.6703 | Train: 97.7% | Test: 86.0% | Best: 86.0%
Ep 136/200 | Loss: 0.0546 | Test Loss: 0.7680 | Train: 98.0% | Test: 84.2% | Best: 86.0%
Ep 137/200 | Loss: 0.0554 | Test Loss: 0.6942 | Train: 97.9% | Test: 85.3% | Best: 86.0%
Ep 138/200 | Loss: 0.0522 | Test Loss: 0.6888 | Train: 98.0% | Test: 85.7% | Best: 86.0%
Ep 139/200 | Loss: 0.0615 | Test Loss: 0.7052 | Train: 97.7% | Test: 84.7% | Best: 86.0%
Ep 140/200 | Loss: 0.0505 | Test Loss: 0.7375 | Train: 98.1% | Test: 85.8% | Best: 86.0%
