============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.001
Seed: 42
Device: cuda
Log file: .\logs\train_waterbirds_kan_h2048_e200_20260213_153818.txt
WandB: enabled
============================================================

Dataset: WATERBIRDS | Device: cuda | Model: KAN | Params: 21,708,352

Group tracking enabled: 4 groups

Ep 58/200 | Loss: 0.0247 | Test Loss: 0.6724 | Train: 100.0% | Test: 87.7% | Avg10: 88.2% | Best: 89.6% | WG: 65.7% | WG-Avg10: 66.1% | WG-Best: 70.7%
Ep 59/200 | Loss: 0.0248 | Test Loss: 0.6540 | Train: 100.0% | Test: 87.9% | Avg10: 88.2% | Best: 89.6% | WG: 62.6% | WG-Avg10: 66.0% | WG-Best: 70.7%
Ep 60/200 | Loss: 0.0252 | Test Loss: 0.6859 | Train: 100.0% | Test: 87.1% | Avg10: 88.1% | Best: 89.6% | WG: 62.3% | WG-Avg10: 65.9% | WG-Best: 70.7%
Ep 61/200 | Loss: 0.0248 | Test Loss: 0.6643 | Train: 100.0% | Test: 87.6% | Avg10: 88.0% | Best: 89.6% | WG: 62.9% | WG-Avg10: 65.2% | WG-Best: 70.7%
Ep 62/200 | Loss: 0.0247 | Test Loss: 0.6395 | Train: 100.0% | Test: 88.1% | Avg10: 87.9% | Best: 89.6% | WG: 63.7% | WG-Avg10: 64.6% | WG-Best: 70.7%
Ep 63/200 | Loss: 0.0246 | Test Loss: 0.6641 | Train: 100.0% | Test: 87.9% | Avg10: 87.9% | Best: 89.6% | WG: 65.3% | WG-Avg10: 64.9% | WG-Best: 70.7%
Ep 64/200 | Loss: 0.0247 | Test Loss: 0.6453 | Train: 100.0% | Test: 88.1% | Avg10: 87.9% | Best: 89.6% | WG: 62.5% | WG-Avg10: 64.6% | WG-Best: 70.7%
Ep 65/200 | Loss: 0.0247 | Test Loss: 0.6167 | Train: 100.0% | Test: 88.4% | Avg10: 87.9% | Best: 89.6% | WG: 62.5% | WG-Avg10: 64.0% | WG-Best: 70.7%
Ep 66/200 | Loss: 0.0246 | Test Loss: 0.6025 | Train: 100.0% | Test: 88.7% | Avg10: 87.8% | Best: 89.6% | WG: 63.1% | WG-Avg10: 64.0% | WG-Best: 70.7%
Ep 67/200 | Loss: 0.0246 | Test Loss: 0.6132 | Train: 100.0% | Test: 88.7% | Avg10: 88.0% | Best: 89.6% | WG: 66.4% | WG-Avg10: 63.7% | WG-Best: 70.7%
Ep 68/200 | Loss: 0.0248 | Test Loss: 0.5407 | Train: 100.0% | Test: 89.8% | Avg10: 88.2% | Best: 89.8% | WG: 62.6% | WG-Avg10: 63.4% | WG-Best: 70.7%
Ep 69/200 | Loss: 0.0247 | Test Loss: 0.6839 | Train: 100.0% | Test: 87.6% | Avg10: 88.2% | Best: 89.8% | WG: 69.2% | WG-Avg10: 64.0% | WG-Best: 70.7%
Ep 70/200 | Loss: 0.0249 | Test Loss: 0.6239 | Train: 100.0% | Test: 88.2% | Avg10: 88.3% | Best: 89.8% | WG: 56.9% | WG-Avg10: 63.5% | WG-Best: 70.7%
Ep 71/200 | Loss: 0.0247 | Test Loss: 0.5477 | Train: 100.0% | Test: 89.5% | Avg10: 88.5% | Best: 89.8% | WG: 57.6% | WG-Avg10: 63.0% | WG-Best: 70.7%
Ep 72/200 | Loss: 0.0246 | Test Loss: 0.5994 | Train: 100.0% | Test: 88.7% | Avg10: 88.6% | Best: 89.8% | WG: 66.8% | WG-Avg10: 63.3% | WG-Best: 70.7%
Ep 73/200 | Loss: 0.0247 | Test Loss: 0.6736 | Train: 100.0% | Test: 87.8% | Avg10: 88.5% | Best: 89.8% | WG: 68.2% | WG-Avg10: 63.6% | WG-Best: 70.7%
Ep 74/200 | Loss: 0.0247 | Test Loss: 0.7252 | Train: 100.0% | Test: 87.0% | Avg10: 88.4% | Best: 89.8% | WG: 65.1% | WG-Avg10: 63.8% | WG-Best: 70.7%
Ep 75/200 | Loss: 0.0247 | Test Loss: 0.7054 | Train: 100.0% | Test: 87.1% | Avg10: 88.3% | Best: 89.8% | WG: 64.0% | WG-Avg10: 64.0% | WG-Best: 70.7%
Ep 76/200 | Loss: 0.0246 | Test Loss: 0.7179 | Train: 100.0% | Test: 87.1% | Avg10: 88.1% | Best: 89.8% | WG: 66.4% | WG-Avg10: 64.3% | WG-Best: 70.7%
Ep 77/200 | Loss: 0.0247 | Test Loss: 0.6836 | Train: 100.0% | Test: 87.5% | Avg10: 88.0% | Best: 89.8% | WG: 65.3% | WG-Avg10: 64.2% | WG-Best: 70.7%
Ep 78/200 | Loss: 0.0246 | Test Loss: 0.6838 | Train: 100.0% | Test: 87.5% | Avg10: 87.8% | Best: 89.8% | WG: 64.5% | WG-Avg10: 64.4% | WG-Best: 70.7%
Ep 79/200 | Loss: 0.0245 | Test Loss: 0.6439 | Train: 100.0% | Test: 88.0% | Avg10: 87.8% | Best: 89.8% | WG: 65.1% | WG-Avg10: 64.0% | WG-Best: 70.7%
Ep 80/200 | Loss: 0.0248 | Test Loss: 0.6710 | Train: 100.0% | Test: 87.8% | Avg10: 87.8% | Best: 89.8% | WG: 70.2% | WG-Avg10: 65.3% | WG-Best: 70.7%
Ep 81/200 | Loss: 0.0246 | Test Loss: 0.5800 | Train: 100.0% | Test: 89.0% | Avg10: 87.7% | Best: 89.8% | WG: 66.8% | WG-Avg10: 66.2% | WG-Best: 70.7%
Ep 82/200 | Loss: 0.0246 | Test Loss: 0.6099 | Train: 100.0% | Test: 88.5% | Avg10: 87.7% | Best: 89.8% | WG: 67.4% | WG-Avg10: 66.3% | WG-Best: 70.7%
Ep 83/200 | Loss: 0.0245 | Test Loss: 0.5883 | Train: 100.0% | Test: 88.7% | Avg10: 87.8% | Best: 89.8% | WG: 63.4% | WG-Avg10: 65.8% | WG-Best: 70.7%
Ep 84/200 | Loss: 0.0245 | Test Loss: 0.6386 | Train: 100.0% | Test: 88.0% | Avg10: 87.9% | Best: 89.8% | WG: 69.2% | WG-Avg10: 66.2% | WG-Best: 70.7%
Ep 85/200 | Loss: 0.0245 | Test Loss: 0.6284 | Train: 100.0% | Test: 88.1% | Avg10: 88.0% | Best: 89.8% | WG: 66.2% | WG-Avg10: 66.4% | WG-Best: 70.7%
Ep 86/200 | Loss: 0.0246 | Test Loss: 0.6625 | Train: 100.0% | Test: 87.9% | Avg10: 88.1% | Best: 89.8% | WG: 68.1% | WG-Avg10: 66.6% | WG-Best: 70.7%
Ep 87/200 | Loss: 0.0244 | Test Loss: 0.6198 | Train: 100.0% | Test: 88.0% | Avg10: 88.2% | Best: 89.8% | WG: 60.6% | WG-Avg10: 66.2% | WG-Best: 70.7%
Ep 88/200 | Loss: 0.0248 | Test Loss: 0.6243 | Train: 100.0% | Test: 88.2% | Avg10: 88.2% | Best: 89.8% | WG: 63.2% | WG-Avg10: 66.0% | WG-Best: 70.7%
Ep 89/200 | Loss: 0.0245 | Test Loss: 0.6632 | Train: 100.0% | Test: 87.7% | Avg10: 88.2% | Best: 89.8% | WG: 66.7% | WG-Avg10: 66.2% | WG-Best: 70.7%
Ep 90/200 | Loss: 0.0246 | Test Loss: 0.6022 | Train: 100.0% | Test: 88.6% | Avg10: 88.3% | Best: 89.8% | WG: 63.4% | WG-Avg10: 65.5% | WG-Best: 70.7%
Ep 91/200 | Loss: 0.0245 | Test Loss: 0.6070 | Train: 100.0% | Test: 88.5% | Avg10: 88.2% | Best: 89.8% | WG: 65.6% | WG-Avg10: 65.4% | WG-Best: 70.7%
Ep 92/200 | Loss: 0.0246 | Test Loss: 0.6360 | Train: 100.0% | Test: 88.1% | Avg10: 88.2% | Best: 89.8% | WG: 69.0% | WG-Avg10: 65.5% | WG-Best: 70.7%
Ep 93/200 | Loss: 0.0245 | Test Loss: 0.6403 | Train: 100.0% | Test: 88.1% | Avg10: 88.1% | Best: 89.8% | WG: 65.9% | WG-Avg10: 65.8% | WG-Best: 70.7%
Ep 94/200 | Loss: 0.0247 | Test Loss: 0.6026 | Train: 100.0% | Test: 88.7% | Avg10: 88.2% | Best: 89.8% | WG: 63.7% | WG-Avg10: 65.2% | WG-Best: 70.7%
Ep 95/200 | Loss: 0.0247 | Test Loss: 0.5571 | Train: 100.0% | Test: 89.2% | Avg10: 88.3% | Best: 89.8% | WG: 64.6% | WG-Avg10: 65.1% | WG-Best: 70.7%
Ep 96/200 | Loss: 0.0246 | Test Loss: 0.5740 | Train: 100.0% | Test: 88.9% | Avg10: 88.4% | Best: 89.8% | WG: 64.5% | WG-Avg10: 64.7% | WG-Best: 70.7%
Ep 97/200 | Loss: 0.0245 | Test Loss: 0.5834 | Train: 100.0% | Test: 88.9% | Avg10: 88.5% | Best: 89.8% | WG: 67.1% | WG-Avg10: 65.4% | WG-Best: 70.7%
Ep 98/200 | Loss: 0.0245 | Test Loss: 0.5984 | Train: 100.0% | Test: 88.6% | Avg10: 88.5% | Best: 89.8% | WG: 66.4% | WG-Avg10: 65.7% | WG-Best: 70.7%
Ep 99/200 | Loss: 0.0245 | Test Loss: 0.6727 | Train: 100.0% | Test: 87.7% | Avg10: 88.5% | Best: 89.8% | WG: 70.7% | WG-Avg10: 66.1% | WG-Best: 70.7%
Ep 100/200 | Loss: 0.0245 | Test Loss: 0.6313 | Train: 100.0% | Test: 88.2% | Avg10: 88.5% | Best: 89.8% | WG: 67.6% | WG-Avg10: 66.5% | WG-Best: 70.7%
Ep 101/200 | Loss: 0.0245 | Test Loss: 0.5960 | Train: 100.0% | Test: 88.6% | Avg10: 88.5% | Best: 89.8% | WG: 66.4% | WG-Avg10: 66.6% | WG-Best: 70.7%
Ep 102/200 | Loss: 0.0245 | Test Loss: 0.6338 | Train: 100.0% | Test: 88.4% | Avg10: 88.5% | Best: 89.8% | WG: 69.5% | WG-Avg10: 66.6% | WG-Best: 70.7%
Ep 103/200 | Loss: 0.0245 | Test Loss: 0.6553 | Train: 100.0% | Test: 88.1% | Avg10: 88.5% | Best: 89.8% | WG: 71.0% | WG-Avg10: 67.1% | WG-Best: 71.0%
Ep 104/200 | Loss: 0.0246 | Test Loss: 0.5998 | Train: 100.0% | Test: 88.5% | Avg10: 88.5% | Best: 89.8% | WG: 66.7% | WG-Avg10: 67.4% | WG-Best: 71.0%
Ep 105/200 | Loss: 0.0245 | Test Loss: 0.6176 | Train: 100.0% | Test: 88.3% | Avg10: 88.4% | Best: 89.8% | WG: 68.1% | WG-Avg10: 67.8% | WG-Best: 71.0%
Ep 106/200 | Loss: 0.0246 | Test Loss: 0.6222 | Train: 100.0% | Test: 88.3% | Avg10: 88.4% | Best: 89.8% | WG: 67.6% | WG-Avg10: 68.1% | WG-Best: 71.0%
